ID,error_number
0,0.0
1,259
2,273
3,248
4,230
5,408
6,409
7,225
8,310
9,361
10,238
11,282
12,371
13,374
14,373
15,372
16,370
17,369
18,221
19,235
20,236
21,403
22,404
23,293
24,294
25,94
26,115
27,114
28,69
29,67
30,289
31,292
32,262
33,232
34,68
35,246
36,390
37,389
38,267
39,402
40,260
41,255
42,79
43,234
44,66
45,70
46,270
47,271
48,272
49,274
50,226
51,227
52,220
53,231
54,222
55,59
56,306
57,354
58,229
59,224
60,309
61,266
62,269
63,268
64,401
65,382
66,383
67,405
68,288
69,276
70,275
71,278
72,277
73,257
74,281
75,283
76,280
77,223
78,284
79,279
80,285
81,258
82,261
83,307
84,228
85,308
86,263
87,243
88,245
89,244
90,264
91,394
92,393
93,396
94,395
95,391
96,388
97,387
98,290
99,295
100,360
101,233
102,265
103,247
