x,Curve1
0.9819,0.994955
3.002,0.994779
3.0602,0.992179
3.0972,0.990058
3.1606,0.987498
3.24,0.984817
3.351,0.981497
3.3933,0.978096
3.4832,0.974616
3.5625,0.971735
3.6366,0.968855
3.6947,0.965694
3.7423,0.963094
3.7952,0.960973
3.8798,0.958573
3.9063,0.956213
3.9486,0.953052
4.0332,0.951172
4.2024,0.94905
4.4192,0.947209
4.6625,0.945167
4.8211,0.943806
5.0749,0.942644
5.2917,0.941482
5.535,0.94048
5.7412,0.940478
5.921,0.940397
6.0691,0.940436
6.2436,0.940874
6.5027,0.941752
6.6772,0.942271
6.9046,0.943389
7.1796,0.944747
7.3964,0.946265
7.5709,0.947224
7.8617,0.948381
8.0838,0.94946
8.3059,0.950858
8.454,0.952057
8.6497,0.953095
8.9299,0.954613
9.279,0.95653
9.5328,0.957808
9.8236,0.959726
10.1568,0.961403
10.4053,0.962721
10.8072,0.964438
11.1456,0.966195
11.4259,0.967593
11.7538,0.96895
12.034,0.970268
12.3355,0.971786
12.8325,0.974302
13.1763,0.975579
13.5041,0.977056
13.906,0.978693
14.1017,0.979851
14.4454,0.981049
14.9319,0.982525
15.3285,0.984322
15.7621,0.985118
16.0953,0.986116
16.3967,0.986873
16.8303,0.98775
17.3486,0.988266
17.8245,0.989502
18.3163,0.990538
18.7182,0.992015
19.173,0.992411
19.6753,0.992927
20.0296,0.993284
21.1613,0.993275
22.9592,0.993501
23.3876,0.993578
23.5991,0.993816
23.9957,0.994133
24.3183,0.99549
24.5298,0.996849
24.7889,0.997686
25.0163,0.998325
